Cluster	DNase_ENCODE_ID	DNase_Output_Type
CD4-positive__alpha-beta_T_cell_ENCSR376DAE	ENCFF916EGX	alignments
CD4-positive__alpha-beta_T_cell_ENCSR389BWT	ENCFF502CST	alignments
CD4-positive__alpha-beta_T_cell_ENCSR498FCF	ENCFF495AAA	alignments
CD4-positive__alpha-beta_T_cell_ENCSR515DVK	ENCFF649KVR	alignments
CD4-positive__alpha-beta_T_cell_ENCSR546FUC	ENCFF881RHO	alignments
CD4-positive__alpha-beta_T_cell_ENCSR567IWT	ENCFF874YSD	alignments
CD4-positive__alpha-beta_T_cell_ENCSR572FSS	ENCFF340EAE	alignments
CD4-positive__alpha-beta_T_cell_ENCSR643GHI	ENCFF010BRO	unfiltered alignments
CD4-positive__alpha-beta_T_cell_ENCSR654WXX	ENCFF798CVZ	alignments
CD4-positive__alpha-beta_T_cell_ENCSR683QJJ	ENCFF182LTQ	unfiltered alignments
CD4-positive__alpha-beta_T_cell_ENCSR697FME	ENCFF859NRU	alignments
CD4-positive__alpha-beta_T_cell_ENCSR769OIG	ENCFF673DMO	alignments
CD4-positive__alpha-beta_T_cell_ENCSR824YLD	ENCFF547EAP	alignments
CD4-positive__alpha-beta_T_cell_ENCSR832IQN	ENCFF824XID	alignments
CD4-positive__alpha-beta_T_cell_ENCSR904GDU	ENCFF884KLV	alignments
CD4-positive__alpha-beta_T_cell_ENCSR930USX	ENCFF318JKL	alignments
CD8-positive__alpha-beta_T_cell_ENCSR842VTJ	ENCFF373EQD	unfiltered alignments
CD8-positive__alpha-beta_T_cell_ENCSR020LUD	ENCFF565RJQ	unfiltered alignments
CD8-positive__alpha-beta_T_cell_ENCSR086FTP	ENCFF254EAW	alignments
CD8-positive__alpha-beta_T_cell_ENCSR097AMI	ENCFF240NPO	alignments
CD8-positive__alpha-beta_T_cell_ENCSR129HDK	ENCFF873DYN	alignments
CD8-positive__alpha-beta_T_cell_ENCSR133QZB	ENCFF089CTW	alignments
CD8-positive__alpha-beta_T_cell_ENCSR162JNV	ENCFF898KQX	alignments
CD8-positive__alpha-beta_T_cell_ENCSR235OZX	ENCFF889DNV	alignments
CD8-positive__alpha-beta_T_cell_ENCSR254BCA	ENCFF466QWH	alignments
CD8-positive__alpha-beta_T_cell_ENCSR316UDN	ENCFF523JBQ	unfiltered alignments
CD8-positive__alpha-beta_T_cell_ENCSR321KUC	ENCFF990TLE	alignments
CD8-positive__alpha-beta_T_cell_ENCSR363BTB	ENCFF432ZTH	alignments
CD8-positive__alpha-beta_T_cell_ENCSR424JPH	ENCFF934OOR	alignments
CD8-positive__alpha-beta_T_cell_ENCSR559QCM	ENCFF083FOQ	alignments
CD8-positive__alpha-beta_T_cell_ENCSR609DDQ	ENCFF107PCI	unfiltered alignments
CD8-positive__alpha-beta_T_cell_ENCSR649XRC	ENCFF282TVE	alignments
CD8-positive__alpha-beta_T_cell_ENCSR662IRS	ENCFF191BAK	alignments
CD8-positive__alpha-beta_T_cell_ENCSR744UQK	ENCFF475JUX	alignments
CD8-positive__alpha-beta_T_cell_ENCSR840TVG	ENCFF376DAI	unfiltered alignments
CD8-positive__alpha-beta_T_cell_ENCSR937NLH	ENCFF429TAJ	alignments
CD8-positive__alpha-beta_T_cell_ENCSR946BPA	ENCFF155GFU	alignments
CD8-positive__alpha-beta_T_cell_ENCSR984HIY	ENCFF409IYA	alignments
hepatic_stellate_cell_ENCSR000ELR	ENCFF450TQE	unfiltered alignments
glomerular_visceral_epithelial_cell_ENCSR785BDQ	ENCFF766MCS, ENCFF125KLI	alignments, alignments
glutamatergic_neuron_ENCSR109RIQ	ENCFF925BZO, ENCFF647NQR	alignments, alignments
choroid_plexus_epithelial_cell_ENCSR000ENL	ENCFF883OCI, ENCFF727EOB	unfiltered alignments, unfiltered alignments
cardiac_muscle_cell_ENCSR000EMY	ENCFF798CBX, ENCFF062FBQ	unfiltered alignments, unfiltered alignments
cardiac_muscle_cell_ENCSR842KCP	ENCFF849JFJ, ENCFF852KZF	alignments, alignments
cardiac_muscle_cell_ENCSR000ENJ	ENCFF405BAG, ENCFF638HIX	unfiltered alignments, unfiltered alignments
memory_B_cell_ENCSR229BGG	ENCFF731UJO	alignments
memory_B_cell_ENCSR736VVP	ENCFF784VSB	alignments
naive_B_cell_ENCSR000ELG	ENCFF392OAH	unfiltered alignments
naive_B_cell_ENCSR011VHK	ENCFF528VKG	alignments
naive_B_cell_ENCSR017SBI	ENCFF052ZPU	alignments
naive_B_cell_ENCSR184TUE	ENCFF967UEJ	alignments
naive_B_cell_ENCSR326TID	ENCFF677UZD	alignments
naive_B_cell_ENCSR480SNC	ENCFF078AUZ	alignments
naive_B_cell_ENCSR739VKY	ENCFF840FIU	alignments
naive_B_cell_ENCSR796PIM	ENCFF131MPK	alignments
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQJ	ENCFF609IPF	unfiltered alignments
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQK	ENCFF452UFZ	unfiltered alignments
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR042WQA	ENCFF575MJC	alignments
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR398CXD	ENCFF560EBB	alignments
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR534RXN	ENCFF363YTA	alignments
immature_natural_killer_cell_ENCSR012RCX	ENCFF223ULN	alignments
immature_natural_killer_cell_ENCSR654LST	ENCFF799DXW	alignments
immature_natural_killer_cell_ENCSR696ZDW	ENCFF404EOG	alignments
hematopoietic_multipotent_progenitor_cell_ENCSR115YPI	ENCFF463GFS	alignments
hematopoietic_multipotent_progenitor_cell_ENCSR420NOA	ENCFF893TZO, ENCFF973FCP, ENCFF255ALH	alignments, alignments, alignments
hematopoietic_multipotent_progenitor_cell_ENCSR855FOP	ENCFF936JCW, ENCFF014RMN	unfiltered alignments, alignments
hematopoietic_multipotent_progenitor_cell_ENCSR937UWI	ENCFF551DAJ, ENCFF055PLA	unfiltered alignments, alignments
hematopoietic_multipotent_progenitor_cell_ENCSR362JSZ	ENCFF185EZR, ENCFF110CNG	alignments, alignments
hematopoietic_multipotent_progenitor_cell_ENCSR493IAY	ENCFF035MBL	alignments
hematopoietic_multipotent_progenitor_cell_ENCSR148VUP	ENCFF527YEA, ENCFF608WXB	alignments, alignments
hematopoietic_multipotent_progenitor_cell_ENCSR564JUY	ENCFF364CLH, ENCFF617ILG	alignments, alignments
hematopoietic_multipotent_progenitor_cell_ENCSR845CFB	ENCFF406WNO, ENCFF209TPB, ENCFF733AWW	unfiltered alignments, alignments, alignments
hematopoietic_multipotent_progenitor_cell_ENCSR000EMK	ENCFF904FRI	unfiltered alignments
hematopoietic_multipotent_progenitor_cell_ENCSR098PTC	ENCFF286KAC, ENCFF814EOK	unfiltered alignments, alignments
hematopoietic_multipotent_progenitor_cell_ENCSR328UMC	ENCFF688ECY	unfiltered alignments
suppressor_macrophage_ENCSR011VJK	ENCFF603NEN	alignments
suppressor_macrophage_ENCSR405FAK	ENCFF105DAN	alignments
