Cluster	DNase_ENCODE_ID	DNase_Output_Type
HAP-1_ENCSR895KTN	ENCFF162WTC, ENCFF443OOK	alignments, alignments
L1-S8_ENCSR314EZY	ENCFF635FFI, ENCFF580BPC	alignments, alignments
L1-S8R_ENCSR746ZPP	ENCFF526RIQ, ENCFF414ZYF	alignments, alignments
RWPE2_ENCSR306BHE	ENCFF512AOX, ENCFF407ORW	alignments, alignments
EH_ENCSR548MMD	ENCFF128VZB, ENCFF233TZU	unfiltered alignments, unfiltered alignments
EL_ENCSR691MQJ	ENCFF039LXT, ENCFF485JAR	unfiltered alignments, unfiltered alignments
ELR_ENCSR240TPI	ENCFF505CBU, ENCFF518EFO	alignments, alignments
GM23338_ENCSR004SUL	ENCFF135ZNA, ENCFF912RFQ	alignments, alignments
GM23338_ENCSR108PUO	ENCFF376XJI	alignments
iPS-NIHi11_ENCSR000EKJ	ENCFF689MGG	unfiltered alignments
iPS-NIHi7_ENCSR000EKK	ENCFF867SEB	unfiltered alignments
HFFc6_ENCSR672EWY	ENCFF757DMO, ENCFF853ZAW	alignments, alignments
C803_ENCSR000ELI	ENCFF442TUD	unfiltered alignments
HCEC_1CT_ENCSR038XTK	ENCFF949OOT, ENCFF061DCP	alignments, alignments
CWRU1_ENCSR000EKI	ENCFF085KLV	unfiltered alignments
WTC11_ENCSR785ZUI	ENCFF492WXQ, ENCFF715YXX	alignments, alignments
ecto_neural_progenitor_cell_ENCSR360XIS	ENCFF884HMI	alignments
Right_ventricle_myocardium_inferior_ENCSR085MZL	ENCFF353FPQ	alignments
Right_ventricle_myocardium_superior_ENCSR895GSY	ENCFF710GZI	alignments
left_ventricle_myocardium_inferior_ENCSR770OTB	ENCFF616QAS	alignments
left_ventricle_myocardium_superior_ENCSR355WAJ	ENCFF153TBA	alignments
activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR100OSB	ENCFF109IYW	alignments
activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR478SWA	ENCFF636CPJ	alignments
activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR396EWH	ENCFF410YVW	alignments
activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR593OUE	ENCFF685BVU	alignments
activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR778DWG	ENCFF104EGX	alignments
activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR386BOX	ENCFF057ECO	alignments
activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR515PDV	ENCFF030PNE	alignments
activated_CD4-positive__alpha-beta_memory_T_cell_ENCSR021YFW	ENCFF996KZH	alignments
activated_CD4-positive__alpha-beta_memory_T_cell_ENCSR720TCN	ENCFF417SCC	alignments
activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR518YYX	ENCFF618UIG	alignments
activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR009MDC	ENCFF696HWG	alignments
activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR044JIR	ENCFF187TZE	alignments
activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR572HUG	ENCFF809IED	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR167VIP	ENCFF868LUM	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR951MYM	ENCFF122ZIM	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR653ISV	ENCFF391RDE	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR933VOY	ENCFF835QKX	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR534OJE	ENCFF360PGB	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR860IDO	ENCFF248FIH	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR171APM	ENCFF387NWM	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR442SDV	ENCFF398QOP	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR971MMF	ENCFF942JCU	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR141RSN	ENCFF030WUI	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR565RQI	ENCFF099GCR	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR175OHT	ENCFF782CFI	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR950YTI	ENCFF296YWF	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR134CIY	ENCFF817SMO	alignments
activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR274XTS	ENCFF090ZTD	alignments
activated_B_cell_ENCSR109DTU	ENCFF855BXL	alignments
nephron_progenitor_cell_ENCSR503UNA	ENCFF537MJV, ENCFF243DDA	alignments, alignments
fibroblast_of_skin_of_left_biceps_ENCSR562ACY	ENCFF083SBJ	unfiltered alignments
fibroblast_of_skin_of_left_biceps_ENCSR648GDP	ENCFF720NZB	unfiltered alignments
fibroblast_of_skin_of_left_quadriceps_ENCSR371KRY	ENCFF156CPF	unfiltered alignments
fibroblast_of_skin_of_left_quadriceps_ENCSR555TFE	ENCFF201JJE	unfiltered alignments
fibroblast_of_skin_of_right_quadriceps_ENCSR217RVH	ENCFF104BQJ	unfiltered alignments
fibroblast_of_skin_of_scalp_ENCSR360LBD	ENCFF049NZW	unfiltered alignments
fibroblast_of_skin_of_scalp_ENCSR770DEN	ENCFF351UST	unfiltered alignments
fibroblast_of_skin_of_right_biceps_ENCSR383BLX	ENCFF623ERH	unfiltered alignments
activated_T-cell_ENCSR617NTY	ENCFF620SNJ	alignments
activated_T-cell_ENCSR810CTB	ENCFF361ZOQ	alignments
activated_T-cell_ENCSR273GCF	ENCFF629NOO	alignments
activated_T-cell_ENCSR219KTW	ENCFF272CLG	alignments
activated_T-cell_ENCSR343MCI	ENCFF023IMC	alignments
activated_T-cell_ENCSR466SUZ	ENCFF301BIC	alignments
activated_T-cell_ENCSR653OVF	ENCFF318YBS	alignments
activated_T-cell_ENCSR223KKX	ENCFF037RIQ	alignments
activated_T-cell_ENCSR416QNA	ENCFF170OUD	alignments
activated_T-cell_ENCSR038POV	ENCFF283GXP	alignments
activated_T-cell_ENCSR660FSU	ENCFF349RNU	alignments
activated_T-cell_ENCSR312INU	ENCFF777SBP	alignments
activated_T-cell_ENCSR771JQH	ENCFF886UWL	alignments
activated_T-cell_ENCSR300NZA	ENCFF310OZU	alignments
activated_T-cell_ENCSR303JDG	ENCFF736DEU	alignments
activated_T-helper_1_cell_ENCSR636DIR	ENCFF528SLH	alignments
activated_T-helper_1_cell_ENCSR635QIZ	ENCFF188NQV	alignments
activated_T-helper_1_cell_ENCSR595THL	ENCFF418EXB	alignments
activated_T-helper_1_cell_ENCSR932OSG	ENCFF943AFY	alignments
activated_T-helper_2_cell_ENCSR780ABS	ENCFF612MMX	alignments
activated_effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR173BJC	ENCFF642YUG	alignments
activated_effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR692PKU	ENCFF996PZC	alignments
activated_effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR732IFV	ENCFF854NWN	alignments
stimulated_activated_naive_B_cell_ENCSR438LZG	ENCFF600PZA	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR075MQZ	ENCFF366GCV	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR470QCE	ENCFF566AHQ	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR724QTW	ENCFF482JGP	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR933HFM	ENCFF413BUL	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR953UJL	ENCFF817ZNY	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR207CQH	ENCFF228XID	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR616AEG	ENCFF563PQP	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR884ODJ	ENCFF944ZRF	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR531UVE	ENCFF300YHK	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR998IXQ	ENCFF600VPS	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR987GUS	ENCFF355KGG	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR324SGE	ENCFF899NHX	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR881CRY	ENCFF634HTR	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR019MZH	ENCFF006BAB	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR245AXW	ENCFF079PCT	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR551LAH	ENCFF342XYF	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR553WJB	ENCFF537QZG	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR579DBA	ENCFF373ODF	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR010TMX	ENCFF073HQE	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR607HIL	ENCFF177WIF	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR658NVL	ENCFF151MKY	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR152AVY	ENCFF516JCR	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR734VFU	ENCFF951XPO	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR050VTC	ENCFF423FCI	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR548KXH	ENCFF329KNS	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR566HLQ	ENCFF867LDP	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR799MAX	ENCFF965IXQ	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR605SQL	ENCFF056GCU	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR634ZYB	ENCFF804HWB	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR323PWV	ENCFF775TZI	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR323TXQ	ENCFF597GTV	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR255OGF	ENCFF445MCI	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR419CKG	ENCFF373MWN	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR920JUM	ENCFF371KCI	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR015FZF	ENCFF832AFE	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR486FMF	ENCFF804NKU	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR703AYZ	ENCFF743GPM	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR840USW	ENCFF680JXS	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR107XZC	ENCFF035TJX	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR284GAG	ENCFF137RGN	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR765ZML	ENCFF058UMD	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR226LVB	ENCFF431XJH	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR315WAC	ENCFF935HDI	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR266NDC	ENCFF503HKL	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR467LJT	ENCFF252KIH	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR618HFT	ENCFF159XDU	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR147QLU	ENCFF265GNJ	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR494IWJ	ENCFF383WYC	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR731DJH	ENCFF043DEC	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR287GYT	ENCFF046LCT	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR543WNA	ENCFF393PFY	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR965ZWZ	ENCFF486BSP	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR438USP	ENCFF012ZOX	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR840QLA	ENCFF130ZOM	alignments
stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR885AWF	ENCFF441XVG	alignments
stimulated_activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR154NYM	ENCFF846LJB	alignments
stimulated_activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR208YDK	ENCFF960DOV	alignments
stimulated_activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR114XWV	ENCFF919QTJ	alignments
stimulated_activated_effector_memory_CD8-positive__alpha-beta_T_cell_ENCSR133QIE	ENCFF192RAV	alignments
stimulated_activated_effector_memory_CD8-positive__alpha-beta_T_cell_ENCSR917BSW	ENCFF438VZH	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR335EYA	ENCFF846AOP	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR536VAY	ENCFF581VZB	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR135XMY	ENCFF604QXW	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR819EPD	ENCFF702OLB	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR284VNJ	ENCFF433CPM	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR474HQW	ENCFF916LCH	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR832THJ	ENCFF839OPJ	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR205ECC	ENCFF874RBL	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR889YWJ	ENCFF170NWG	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR177GYC	ENCFF522RVG	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR502GWQ	ENCFF325HML	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR471RHG	ENCFF164OKO	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR688OIJ	ENCFF404XYC	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR210JVF	ENCFF393MQG	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR688DKY	ENCFF860JAT	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR380TXB	ENCFF537VIW	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR735MJZ	ENCFF431EGV	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR943BCO	ENCFF873RTW	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR294DND	ENCFF248XIX	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR960EVM	ENCFF074VBQ	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR314IBN	ENCFF831BBW	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR749YCR	ENCFF024UTK	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR130HIE	ENCFF799KWA	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR377CRU	ENCFF469NED	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR669NQZ	ENCFF401YKR	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR060TTR	ENCFF347RFH	alignments
stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR335LOQ	ENCFF496LAJ	alignments
activated_T-helper_9_cell_ENCSR433WOV	ENCFF089LIB	alignments
activated_gamma-delta_T_cell_ENCSR676GAW	ENCFF370USQ	alignments
activated_gamma-delta_T_cell_ENCSR104QUE	ENCFF404MRF	alignments
mesendoderm_ENCSR714DIF	ENCFF585KAH	unfiltered alignments
islet_precursor_cell_ENCSR224FOA	ENCFF537FXA	alignments
activated_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR133OSO	ENCFF139SFY	alignments
activated_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR242CLA	ENCFF195QCY	alignments
dedifferentiated_amniotic_fluid_mesenchymal_stem_cell_ENCSR820WLP	ENCFF833UTG, ENCFF381FQU	alignments, alignments
ureter_ENCSR398JUP	ENCFF964BCG	alignments
large_intestine_ENCSR047FNH	ENCFF091HXM	unfiltered alignments
large_intestine_ENCSR133SPH	ENCFF304BCY	unfiltered alignments
large_intestine_ENCSR154YPL	ENCFF353UBK	unfiltered alignments
large_intestine_ENCSR214QEO	ENCFF210TLM	unfiltered alignments
large_intestine_ENCSR366EQH	ENCFF075NVR	unfiltered alignments
large_intestine_ENCSR444VTC	ENCFF272RKC	unfiltered alignments
large_intestine_ENCSR531HPD	ENCFF210IXX	unfiltered alignments
large_intestine_ENCSR563XRP	ENCFF037BZG	unfiltered alignments
large_intestine_ENCSR666YVE	ENCFF636UZL	unfiltered alignments
large_intestine_ENCSR762FCX	ENCFF569NNP	unfiltered alignments
large_intestine_ENCSR796SJV	ENCFF601COM	unfiltered alignments
large_intestine_ENCSR800QGE	ENCFF645WAF	unfiltered alignments
large_intestine_ENCSR857AEB	ENCFF646DYG	unfiltered alignments
large_intestine_ENCSR874CAK	ENCFF672GFS	unfiltered alignments
colonic_mucosa_ENCSR576UAF	ENCFF946UKJ	alignments
colonic_mucosa_ENCSR994KTY	ENCFF018RLE	alignments
testis_ENCSR278FHC	ENCFF882ETO	unfiltered alignments
testis_ENCSR729DRB	ENCFF419SVL	unfiltered alignments
testis_ENCSR866ODX	ENCFF386AZI	alignments
testis_ENCSR978QUT	ENCFF867KYD	alignments
stomach_ENCSR006IMH	ENCFF459MPN	alignments
stomach_ENCSR062DUU	ENCFF829LFF	unfiltered alignments
stomach_ENCSR082XEU	ENCFF348YAT	unfiltered alignments
stomach_ENCSR095GWE	ENCFF690VNI, ENCFF497DYX	alignments, alignments
stomach_ENCSR119HXE	ENCFF719WIP	unfiltered alignments
stomach_ENCSR163PKT	ENCFF620MUD	alignments
stomach_ENCSR172PVJ	ENCFF164BAR	unfiltered alignments
stomach_ENCSR177NIJ	ENCFF513MQT	alignments
stomach_ENCSR208DMX	ENCFF500QXA	unfiltered alignments
stomach_ENCSR246PXX	ENCFF940EUA	unfiltered alignments
stomach_ENCSR282QFE	ENCFF499NKV	unfiltered alignments
stomach_ENCSR511GQA	ENCFF328KZU	unfiltered alignments
stomach_ENCSR522FGG	ENCFF470VIU	unfiltered alignments
stomach_ENCSR608AHQ	ENCFF776XPV	unfiltered alignments
stomach_ENCSR627KFV	ENCFF388EVJ	unfiltered alignments
stomach_ENCSR641ZPF	ENCFF089RAR	alignments
stomach_ENCSR683YLO	ENCFF620LNU	unfiltered alignments
stomach_ENCSR726YMS	ENCFF469UQW	unfiltered alignments
stomach_ENCSR782SSS	ENCFF815LKJ	unfiltered alignments
stomach_ENCSR930YSB	ENCFF939RXC	unfiltered alignments
stomach_ENCSR941SMM	ENCFF097CFG	unfiltered alignments
aorta_ENCSR595DQM	ENCFF934AZP	alignments
aorta_ENCSR713KNQ	ENCFF381CDO	alignments
heart_ENCSR000EJQ	ENCFF022OEC, ENCFF360YPK	unfiltered alignments, unfiltered alignments
heart_ENCSR064GBK	ENCFF239UMB	unfiltered alignments
heart_ENCSR154ZNQ	ENCFF236ITL	unfiltered alignments
heart_ENCSR174JMM	ENCFF361GSX	unfiltered alignments
heart_ENCSR189YJQ	ENCFF149PPN	unfiltered alignments
heart_ENCSR305UJX	ENCFF903KLS	unfiltered alignments
heart_ENCSR311LLZ	ENCFF080QHJ	unfiltered alignments
heart_ENCSR320PGJ	ENCFF206PJC	unfiltered alignments
heart_ENCSR366EGE	ENCFF674YKD	unfiltered alignments
heart_ENCSR392GCE	ENCFF483QWV	unfiltered alignments
heart_ENCSR533VAF	ENCFF376TKA	unfiltered alignments
heart_ENCSR536NGW	ENCFF728KAJ	unfiltered alignments
heart_ENCSR664PKM	ENCFF845UVD, ENCFF618GPG	alignments, alignments
heart_ENCSR705CNJ	ENCFF984ZHE, ENCFF820NRM	alignments, alignments
heart_ENCSR749BWV	ENCFF818EPW, ENCFF524DMF	alignments, alignments
heart_ENCSR804RSI	ENCFF572XQQ	alignments
heart_ENCSR911LTI	ENCFF832VZR	unfiltered alignments
heart_ENCSR914DOH	ENCFF854YIC	unfiltered alignments
brain_ENCSR049SVH	ENCFF786YZF	alignments
brain_ENCSR330JXM	ENCFF424NSY	alignments
brain_ENCSR026EOM	ENCFF888DUC	unfiltered alignments
brain_ENCSR118WIQ	ENCFF148XZW	unfiltered alignments
brain_ENCSR156CLC	ENCFF371LDJ	unfiltered alignments
brain_ENCSR187PYY	ENCFF430OPN	unfiltered alignments
brain_ENCSR309FOO	ENCFF983HWN	unfiltered alignments
brain_ENCSR344FLH	ENCFF232ESJ	unfiltered alignments
brain_ENCSR420RWU	ENCFF021ZDN	unfiltered alignments
brain_ENCSR475VQD	ENCFF197JYS, ENCFF696HNO	unfiltered alignments, alignments
brain_ENCSR507GFJ	ENCFF831ETF	alignments
brain_ENCSR572LDG	ENCFF440PCX	unfiltered alignments
brain_ENCSR595CSH	ENCFF425GUX, ENCFF870TZV	unfiltered alignments, alignments
brain_ENCSR649KBB	ENCFF559BKM	unfiltered alignments
brain_ENCSR820XRX	ENCFF620DWN	unfiltered alignments
brain_ENCSR947POC	ENCFF978EWQ	unfiltered alignments
retina_ENCSR474GZQ	ENCFF300DIY, ENCFF634TLM	unfiltered alignments, unfiltered alignments
retina_ENCSR621ENC	ENCFF068EKU, ENCFF632TWH	unfiltered alignments, alignments
retina_ENCSR820ICX	ENCFF842NAE	alignments
eye_ENCSR127PWK	ENCFF597SAZ	unfiltered alignments
eye_ENCSR782XFY	ENCFF045BTQ, ENCFF976RNA	unfiltered alignments, alignments
femur_ENCSR805XIF	ENCFF996VMS	alignments
pons_ENCSR829MXU	ENCFF839GGU	unfiltered alignments
ovary_ENCSR138UGH	ENCFF764XZE	alignments
ovary_ENCSR330ZBO	ENCFF180HNU	alignments
ovary_ENCSR365NDK	ENCFF332IHS	alignments
ovary_ENCSR428XAX	ENCFF026RIM	unfiltered alignments
ovary_ENCSR712PYJ	ENCFF593QEZ	unfiltered alignments
ovary_ENCSR732RIC	ENCFF868TSB	alignments
ovary_ENCSR798XLO	ENCFF072TLG	alignments
ovary_ENCSR872DUY	ENCFF218QGZ	alignments
ovary_ENCSR930PDT	ENCFF072TVW	alignments
uterus_ENCSR129BZE	ENCFF130PVC	alignments
uterus_ENCSR545ADK	ENCFF914KBU	alignments
vagina_ENCSR437AYW	ENCFF552WGU	alignments
vagina_ENCSR733YNW	ENCFF564NGR	alignments
posterior_vena_cava_ENCSR324NVG	ENCFF019WJX	alignments
right_lobe_of_liver_ENCSR164TBP	ENCFF892VLK	alignments
right_lobe_of_liver_ENCSR608NWP	ENCFF920IXO	alignments
right_lobe_of_liver_ENCSR628NEA	ENCFF397QAV	alignments
right_lobe_of_liver_ENCSR909HFI	ENCFF520UZZ	alignments
right_lobe_of_liver_ENCSR933GMM	ENCFF427BNB	alignments
left_lobe_of_liver_ENCSR802ZYE	ENCFF272CBV	alignments
body_of_pancreas_ENCSR405YLV	ENCFF611ZEI	alignments
body_of_pancreas_ENCSR464TKV	ENCFF153EIC	alignments
body_of_pancreas_ENCSR539WBA	ENCFF855BHV	alignments
body_of_pancreas_ENCSR828FVZ	ENCFF135KGR	alignments
transverse_colon_ENCSR340MRJ	ENCFF650EYC	alignments
transverse_colon_ENCSR760QZM	ENCFF034EJE	alignments
transverse_colon_ENCSR763AKE	ENCFF568ZEU	alignments
transverse_colon_ENCSR923JYH	ENCFF991EWH	alignments
sigmoid_colon_ENCSR276ITP	ENCFF531YYI	alignments
sigmoid_colon_ENCSR391YAV	ENCFF166AYV	alignments
sigmoid_colon_ENCSR462XTM	ENCFF596CQL	alignments
Peyers_patch_ENCSR261RWJ	ENCFF635OZL	alignments
Peyers_patch_ENCSR455GUW	ENCFF226LGV	alignments
Peyers_patch_ENCSR689DSM	ENCFF799FGK	alignments
Peyers_patch_ENCSR954AJK	ENCFF484DQZ	alignments
renal_pelvis_ENCSR141DMX	ENCFF135OFF	unfiltered alignments
renal_pelvis_ENCSR301RCD	ENCFF237VKK	unfiltered alignments
renal_pelvis_ENCSR364TKL	ENCFF155UHI	unfiltered alignments
renal_pelvis_ENCSR554WUJ	ENCFF321HUE	unfiltered alignments
renal_pelvis_ENCSR580OAH	ENCFF764DMN	unfiltered alignments
renal_pelvis_ENCSR606UAR	ENCFF766KRB	unfiltered alignments
renal_pelvis_ENCSR619DRM	ENCFF756BCQ	unfiltered alignments
renal_pelvis_ENCSR911YVV	ENCFF316XAY	unfiltered alignments
renal_pelvis_ENCSR913NYL	ENCFF958HRC	unfiltered alignments
renal_pelvis_ENCSR956ZHU	ENCFF812JQY	unfiltered alignments
urinary_bladder_ENCSR813CKU	ENCFF351RLC	alignments
pancreas_ENCSR056PFI	ENCFF988IQG	alignments
pancreas_ENCSR178JBL	ENCFF027VJJ	unfiltered alignments
pancreas_ENCSR236KPK	ENCFF025CEB	alignments
pancreas_ENCSR242RPQ	ENCFF942NPB	alignments
pancreas_ENCSR338NEI	ENCFF180RAM	alignments
pancreas_ENCSR589HAC	ENCFF979ZTM	alignments
pancreas_ENCSR595HZQ	ENCFF219VNL	unfiltered alignments
pancreas_ENCSR999VDH	ENCFF456GDF	alignments
sciatic_nerve_ENCSR672MOG	ENCFF107GZP	alignments
tibial_nerve_ENCSR401ESD	ENCFF680PST	alignments
tibial_nerve_ENCSR484UAU	ENCFF234VOE	alignments
tibial_nerve_ENCSR508FVM	ENCFF647TLU	alignments
muscle_of_leg_ENCSR033DQS	ENCFF408FZW	unfiltered alignments
muscle_of_leg_ENCSR059LXL	ENCFF164XBH	unfiltered alignments
muscle_of_leg_ENCSR167XSQ	ENCFF585QKS	unfiltered alignments
muscle_of_leg_ENCSR198JXW	ENCFF861RFY	unfiltered alignments
muscle_of_leg_ENCSR272RQX	ENCFF586FPS	unfiltered alignments
muscle_of_leg_ENCSR286WIA	ENCFF090SSA	unfiltered alignments
muscle_of_leg_ENCSR294QCR	ENCFF533IND	unfiltered alignments
muscle_of_leg_ENCSR297ORG	ENCFF542IEJ	unfiltered alignments
muscle_of_leg_ENCSR514QHN	ENCFF214WFZ	unfiltered alignments
muscle_of_leg_ENCSR622CAH	ENCFF323LGU	unfiltered alignments
muscle_of_leg_ENCSR861NUH	ENCFF937JYF	unfiltered alignments
muscle_of_leg_ENCSR937RVN	ENCFF704PUT	unfiltered alignments
muscle_of_leg_ENCSR938UOR	ENCFF071RKT	unfiltered alignments
ascending_aorta_ENCSR422IIZ	ENCFF396JLE	alignments
ascending_aorta_ENCSR968TPO	ENCFF361GMH	alignments
muscle_of_arm_ENCSR062DXC	ENCFF090RIU	unfiltered alignments
muscle_of_arm_ENCSR270LZE	ENCFF454RWN	unfiltered alignments
muscle_of_arm_ENCSR303YII	ENCFF820COE	unfiltered alignments
